x,y,f
-30,-30,8.6491e+07
-30,-29.3939,8.63783e+07
-30,-28.7879,8.62657e+07
-30,-28.1818,8.61531e+07
-30,-27.5758,8.60406e+07
-30,-26.9697,8.59282e+07
-30,-26.3636,8.58159e+07
-30,-25.7576,8.57037e+07
-30,-25.1515,8.55915e+07
-30,-24.5455,8.54794e+07
-30,-23.9394,8.53674e+07
-30,-23.3333,8.52554e+07
-30,-22.7273,8.51435e+07
-30,-22.1212,8.50317e+07
-30,-21.5152,8.492e+07
-30,-20.9091,8.48083e+07
-30,-20.303,8.46967e+07
-30,-19.697,8.45852e+07
-30,-19.0909,8.44738e+07
-30,-18.4848,8.43624e+07
-30,-17.8788,8.42511e+07
-30,-17.2727,8.41399e+07
-30,-16.6667,8.40287e+07
-30,-16.0606,8.39177e+07
-30,-15.4545,8.38067e+07
-30,-14.8485,8.36957e+07
-30,-14.2424,8.35849e+07
-30,-13.6364,8.34741e+07
-30,-13.0303,8.33634e+07
-30,-12.4242,8.32528e+07
-30,-11.8182,8.31422e+07
-30,-11.2121,8.30317e+07
-30,-10.6061,8.29213e+07
-30,-10,8.2811e+07
-30,-9.39394,8.27007e+07
-30,-8.78788,8.25905e+07
-30,-8.18182,8.24804e+07
-30,-7.57576,8.23703e+07
-30,-6.9697,8.22604e+07
-30,-6.36364,8.21505e+07
-30,-5.75758,8.20406e+07
-30,-5.15152,8.19309e+07
-30,-4.54545,8.18212e+07
-30,-3.93939,8.17116e+07
-30,-3.33333,8.16021e+07
-30,-2.72727,8.14926e+07
-30,-2.12121,8.13832e+07
-30,-1.51515,8.12739e+07
-30,-0.909091,8.11647e+07
-30,-0.30303,8.10555e+07
-30,0.30303,8.09464e+07
-30,0.909091,8.08374e+07
-30,1.51515,8.07285e+07
-30,2.12121,8.06196e+07
-30,2.72727,8.05108e+07
-30,3.33333,8.04021e+07
-30,3.93939,8.02934e+07
-30,4.54545,8.01848e+07
-30,5.15152,8.00763e+07
-30,5.75758,7.99679e+07
-30,6.36364,7.98596e+07
-30,6.9697,7.97513e+07
-30,7.57576,7.96431e+07
-30,8.18182,7.95349e+07
-30,8.78788,7.94269e+07
-30,9.39394,7.93189e+07
-30,10,7.9211e+07
-30,10.6061,7.91031e+07
-30,11.2121,7.89954e+07
-30,11.8182,7.88877e+07
-30,12.4242,7.878e+07
-30,13.0303,7.86725e+07
-30,13.6364,7.8565e+07
-30,14.2424,7.84576e+07
-30,14.8485,7.83503e+07
-30,15.4545,7.8243e+07
-30,16.0606,7.81358e+07
-30,16.6667,7.80287e+07
-30,17.2727,7.79217e+07
-30,17.8788,7.78147e+07
-30,18.4848,7.77079e+07
-30,19.0909,7.7601e+07
-30,19.697,7.74943e+07
-30,20.303,7.73876e+07
-30,20.9091,7.7281e+07
-30,21.5152,7.71745e+07
-30,22.1212,7.70681e+07
-30,22.7273,7.69617e+07
-30,23.3333,7.68554e+07
-30,23.9394,7.67492e+07
-30,24.5455,7.6643e+07
-30,25.1515,7.65369e+07
-30,25.7576,7.64309e+07
-30,26.3636,7.6325e+07
-30,26.9697,7.62192e+07
-30,27.5758,7.61134e+07
-30,28.1818,7.60077e+07
-30,28.7879,7.5902e+07
-30,29.3939,7.57965e+07
-30,30,7.5691e+07
-29.3939,-30,7.99252e+07
-29.3939,-29.3939,7.98169e+07
-29.3939,-28.7879,7.97086e+07
-29.3939,-28.1818,7.96004e+07
-29.3939,-27.5758,7.94923e+07
-29.3939,-26.9697,7.93843e+07
-29.3939,-26.3636,7.92763e+07
-29.3939,-25.7576,7.91684e+07
-29.3939,-25.1515,7.90606e+07
-29.3939,-24.5455,7.89529e+07
-29.3939,-23.9394,7.88452e+07
-29.3939,-23.3333,7.87376e+07
-29.3939,-22.7273,7.86301e+07
-29.3939,-22.1212,7.85227e+07
-29.3939,-21.5152,7.84153e+07
-29.3939,-20.9091,7.8308e+07
-29.3939,-20.303,7.82008e+07
-29.3939,-19.697,7.80936e+07
-29.3939,-19.0909,7.79865e+07
-29.3939,-18.4848,7.78795e+07
-29.3939,-17.8788,7.77726e+07
-29.3939,-17.2727,7.76657e+07
-29.3939,-16.6667,7.75589e+07
-29.3939,-16.0606,7.74522e+07
-29.3939,-15.4545,7.73456e+07
-29.3939,-14.8485,7.7239e+07
-29.3939,-14.2424,7.71325e+07
-29.3939,-13.6364,7.70261e+07
-29.3939,-13.0303,7.69198e+07
-29.3939,-12.4242,7.68135e+07
