x,y,f
-100,-100,16.0225
-100,-97.9798,14
-100,-95.9596,15.6906
-100,-93.9394,14.4281
-100,-91.9192,14.1143
-100,-89.899,15.4276
-100,-87.8788,13.6125
-100,-85.8586,13.8608
-100,-83.8384,15.0489
-100,-81.8182,13.6482
-100,-79.798,12.8725
-100,-77.7778,14.0591
-100,-75.7576,14.5076
-100,-73.7374,13.4029
-100,-71.7172,12.3722
-100,-69.697,12.4106
-100,-67.6768,13.0857
-100,-65.6566,13.6578
-100,-63.6364,13.8342
-100,-61.6162,13.7124
-100,-59.596,13.4911
-100,-57.5758,13.3116
-100,-55.5556,13.2332
-100,-53.5354,13.2437
-100,-51.5152,13.2466
-100,-49.4949,13.0388
-100,-47.4747,12.3959
-100,-45.4545,11.418
-100,-43.4343,10.9153
-100,-41.4141,11.7387
-100,-39.3939,12.7398
-100,-37.3737,11.6393
-100,-35.3535,10.6898
-100,-33.3333,12.3827
-100,-31.3131,11.2427
-100,-29.2929,11.1237
-100,-27.2727,11.9412
-100,-25.2525,10.6725
-100,-23.2323,11.7849
-100,-21.2121,11.0662
-100,-19.1919,10.7285
-100,-17.1717,12.1204
-100,-15.1515,10.4832
-100,-13.1313,10.4558
-100,-11.1111,11.81
-100,-9.09091,11.8935
-100,-7.07071,11.0228
-100,-5.05051,10.3166
-100,-3.0303,10.0459
-100,-1.0101,10.001
-100,1.0101,10.001
-100,3.0303,10.0459
-100,5.05051,10.3166
-100,7.07071,11.0228
-100,9.09091,11.8935
-100,11.1111,11.81
-100,13.1313,10.4558
-100,15.1515,10.4832
-100,17.1717,12.1204
-100,19.1919,10.7285
-100,21.2121,11.0662
-100,23.2323,11.7849
-100,25.2525,10.6725
-100,27.2727,11.9412
-100,29.2929,11.1237
-100,31.3131,11.2427
-100,33.3333,12.3827
-100,35.3535,10.6898
-100,37.3737,11.6393
-100,39.3939,12.7398
-100,41.4141,11.7387
-100,43.4343,10.9153
-100,45.4545,11.418
-100,47.4747,12.3959
-100,49.4949,13.0388
-100,51.5152,13.2466
-100,53.5354,13.2437
-100,55.5556,13.2332
-100,57.5758,13.3116
-100,59.596,13.4911
-100,61.6162,13.7124
-100,63.6364,13.8342
-100,65.6566,13.6578
-100,67.6768,13.0857
-100,69.697,12.4106
-100,71.7172,12.3722
-100,73.7374,13.4029
-100,75.7576,14.5076
-100,77.7778,14.0591
-100,79.798,12.8725
-100,81.8182,13.6482
-100,83.8384,15.0489
-100,85.8586,13.8608
-100,87.8788,13.6125
-100,89.899,15.4276
-100,91.9192,14.1143
-100,93.9394,14.4281
-100,95.9596,15.6906
-100,97.9798,14
-100,100,16.0225
-97.9798,-100,14
