ID,f1,f2,Is_Nondominated
0,79.654298,18.343479,0
1,77.969100,59.685016,0
2,44.583276,9.997492,0
3,45.924889,33.370861,0
4,14.286681,65.088847,0
5,5.641158,72.199877,0
6,93.855271,0.077876,0
7,99.221156,61.748151,1
8,61.165316,0.706631,0
9,2.306243,52.477466,0
10,39.986098,4.666567,0
11,97.375552,23.277134,0
12,9.060644,61.838601,0
13,38.246199,98.323089,0
14,46.676290,85.994040,0
15,68.030754,45.049925,0
16,1.326496,94.220175,0
17,56.328822,38.541651,0
18,1.596626,23.089382,0
19,24.102547,68.326352,0
20,60.999666,83.319491,0
21,17.336465,39.106061,0
22,18.223609,75.536141,0
23,42.515588,20.794166,0
24,56.770033,3.131329,0
25,84.228477,44.975413,0
26,39.515023,92.665886,0
27,72.727200,32.654077,0
28,57.044398,52.083427,0
29,96.117203,84.453385,0
30,74.732011,53.969213,0
31,58.675117,96.525531,1
32,60.703425,27.599918,0
33,29.627351,16.526694,0
34,1.563640,42.340148,0
35,39.488152,29.348818,0
36,1.407982,19.884240,0
37,71.134195,79.017554,0
38,60.595998,92.630088,1
39,65.107703,91.495968,1
40,85.003858,44.945067,0
41,9.541012,37.081826,0
42,66.884126,66.592235,0
43,59.129779,27.472179,0
44,56.124342,38.292687,0
45,97.171209,84.891382,1
46,72.172952,23.598492,0
47,25.606832,4.043359,0
48,71.066289,11.089083,0
49,43.933651,20.171921,0
50,89.576360,47.537022,0
51,56.327557,69.551608,0
52,13.933145,60.441738,0
53,53.984109,20.306123,0
54,94.285357,59.886547,0
55,69.478494,88.046784,1
56,62.435404,29.563369,0
57,10.549426,45.653457,0
58,21.844044,41.650995,0
59,88.328026,32.434502,0
60,12.208795,35.629784,0
61,90.682845,27.213225,0
62,64.769012,0.052038,0
63,35.256885,30.478126,0
64,16.465585,53.408942,0
65,48.482998,69.243603,0
66,26.941233,24.412552,0
67,16.829105,21.876422,0
68,55.810200,40.383617,0
69,6.489225,25.391541,0
70,24.687606,69.630427,0
71,71.227059,14.808693,0
72,99.774049,26.678102,1
73,97.661495,41.103702,0
74,3.305074,34.507125,0
75,63.435134,68.070546,0
76,53.093458,44.778316,0
77,55.289309,59.269672,0
78,8.085333,36.965446,0
79,24.215994,80.313975,0
80,47.030063,98.342314,1
81,39.882444,81.643188,0
82,79.834512,15.071754,0
83,50.819878,69.581281,0
84,85.835880,32.595891,0
85,22.024105,71.114953,0
86,80.950105,34.866599,0
87,9.617655,94.052326,0
88,39.757202,51.775135,0
89,83.771011,67.569012,0
90,73.521612,20.907162,0
91,54.144797,69.578440,0
92,22.855002,17.495492,0
93,98.216834,51.663589,0
94,26.082918,99.625370,1
95,96.541935,55.829345,0
96,88.263635,18.870711,0
97,27.887135,70.035783,0
98,84.666114,85.632429,1
99,40.450813,88.777009,0
