ID,f1,f2,f3,f4,f5,Is_Nondominated
0,85.092845,93.563500,78.534065,66.898825,58.068663,1
1,37.228277,94.013344,97.366384,28.392098,30.536386,1
2,48.561375,44.842414,99.445747,17.592525,1.807536,1
3,49.389372,17.882271,36.646879,74.417052,72.093992,0
4,30.806079,54.254023,50.881408,63.633262,25.046182,0
5,58.987085,97.889286,48.674215,90.609878,43.439437,1
6,35.007841,64.510336,66.892406,86.416756,23.018527,0
7,49.919338,57.200420,76.855402,4.360378,99.455051,0
8,46.994451,27.956034,88.349402,74.771878,95.307184,1
9,33.075031,55.276496,57.229247,98.033158,7.534626,0
10,30.569702,19.091103,26.847485,48.527987,37.268687,0
11,39.469146,84.421314,93.001683,7.041613,20.891872,0
12,67.114351,35.864679,25.416365,29.529058,32.255076,0
13,84.866979,13.662133,70.891100,55.281998,29.651014,0
14,41.978086,25.620694,61.151371,8.159418,0.518486,0
15,62.789441,19.427395,7.094091,39.678382,5.076853,0
16,88.661715,2.761677,57.886490,43.847413,67.202614,0
17,32.815267,15.504162,98.184089,83.893350,86.040462,1
18,25.025136,3.883473,30.326552,53.708243,32.665124,0
19,82.786900,27.154292,96.525183,45.726516,84.202308,1
20,19.438004,41.135391,69.951221,13.835309,13.274542,0
21,96.953687,71.459510,4.106752,39.882090,43.352074,1
22,74.404265,25.086053,18.433367,8.087297,42.831448,0
23,68.849990,5.819359,91.521373,44.235223,23.978736,0
24,9.387329,18.286600,93.461400,63.827059,51.669626,0
25,65.711133,43.567290,73.003932,4.771613,56.603721,0
26,15.864645,12.016465,34.187967,9.179907,9.415699,0
27,31.141331,97.951053,17.533027,1.716110,76.336443,0
28,80.691298,34.630432,46.467382,64.977368,4.805893,0
29,94.914573,88.668039,26.089362,1.530454,93.343631,1
30,50.103988,53.937745,68.396377,61.585117,94.389160,0
31,94.425160,86.719894,63.640360,80.094930,67.716834,1
32,57.336704,12.850035,81.120418,82.063947,62.593967,0
33,82.042684,65.148477,20.668436,27.396113,21.458912,0
34,37.725909,3.896314,61.825388,33.655422,65.572264,0
35,38.539662,68.161367,34.062457,26.069453,49.603745,0
36,69.289036,34.833660,93.664815,3.918633,41.794603,0
37,96.758056,54.797188,42.347094,56.852028,57.592457,0
38,73.164775,12.768973,25.001645,58.054402,86.711661,0
39,56.186669,23.859686,67.984478,73.990876,23.823615,0
40,37.772889,53.432747,49.656119,38.961809,29.763517,0
41,9.998489,5.348530,95.854150,84.714315,35.490519,0
42,95.680088,67.676990,48.252095,49.302566,8.328441,0
43,9.170415,60.244093,55.370305,21.272789,94.619454,0
44,78.129605,11.346460,93.092911,97.424821,99.593124,1
45,5.587116,73.703555,54.591577,70.583149,96.865195,1
46,68.803001,83.696388,86.686871,83.848076,42.609147,1
47,22.257642,39.665160,89.189691,14.660482,51.332617,0
48,23.322807,58.130542,86.313852,88.035997,23.668519,0
49,90.769370,59.188874,35.021824,70.818120,48.166699,0
50,37.798759,70.508436,24.872415,33.025253,43.445185,0
51,25.368218,40.520209,57.147303,74.097386,76.719485,0
52,82.279035,74.421165,68.103942,23.750647,40.022290,0
53,47.771490,8.289132,52.837012,43.633583,80.210925,0
54,97.790066,55.600504,32.268638,4.340078,92.464333,1
55,91.911572,25.299016,69.541112,7.543455,16.621543,0
56,21.680911,29.449395,99.583137,69.692506,38.420183,0
57,73.710071,91.525434,95.870240,5.786389,39.452180,1
58,10.675607,33.566007,16.967991,64.684836,38.826838,0
59,22.939475,26.593793,36.034509,25.994986,45.324085,0
60,3.231595,27.976351,41.120672,60.278188,27.095764,0
61,13.318512,7.620037,94.053182,41.663906,58.116262,0
62,91.917655,8.274842,87.666149,55.158788,16.483426,0
63,41.125512,77.760228,48.037008,98.528605,37.673897,0
64,74.957830,39.298945,82.916422,56.908147,6.351183,0
65,3.682187,13.385212,1.367197,7.535906,69.171440,0
66,53.434627,74.991074,91.316575,58.514953,72.612084,1
67,75.708120,37.785055,24.108483,20.504533,25.144243,0
68,27.473180,20.722765,87.822066,75.699913,4.689647,0
69,26.867249,2.218474,49.816519,47.621070,83.137149,0
70,30.777724,81.638573,96.797376,8.840822,79.181784,1
71,58.995590,48.004597,42.053578,78.466826,63.936135,0
72,80.504467,90.315106,61.726372,98.046272,60.808785,1
73,63.664432,55.481561,9.100209,72.639703,54.744631,0
74,45.091044,91.047128,29.795945,52.360227,69.764187,0
75,79.647178,45.934680,84.209142,76.891774,6.623598,0
76,4.586126,62.080568,34.741341,20.913079,57.964994,0
77,34.156321,53.726342,46.011916,58.476611,40.030049,0
78,69.766757,18.006727,69.650146,41.166121,87.431761,0
79,51.523606,97.311036,60.193540,22.384907,82.179064,0
80,34.508263,34.761922,3.180469,54.871531,53.442350,0
81,35.599149,89.421726,12.874840,33.009951,32.158277,0
82,9.229059,48.114539,68.778472,51.165701,15.697768,0
83,37.728597,0.259503,86.830110,8.451700,59.727808,0
84,98.625700,53.659065,92.404176,23.611653,75.995541,1
85,53.126575,72.051606,6.234137,14.773910,13.311693,0
86,68.716550,84.444067,74.961623,3.047216,86.721498,0
87,35.414667,39.716384,10.486917,73.740521,18.228388,0
88,56.396509,84.070999,8.920433,53.533557,23.321641,0
89,34.292686,47.396994,35.510430,64.882284,47.958211,0
90,58.419948,73.682248,55.774226,58.653543,56.445854,0
91,37.877263,33.744683,89.964740,60.755523,24.435316,0
92,49.824770,33.034848,93.369183,0.753437,22.533280,0
93,36.535682,48.780980,85.081752,8.788763,80.586489,0
94,5.565349,84.231404,5.163547,1.824249,69.696146,0
95,99.725554,89.661026,57.599842,91.739561,0.530000,1
96,97.506717,49.074878,72.289609,82.086147,71.845727,1
97,53.503673,47.661949,83.858256,20.507756,96.799407,1
98,71.095248,19.950693,73.624719,52.984002,70.723009,0
99,76.777950,8.729018,50.610396,93.201435,32.064219,0
100,59.388310,36.923048,45.426798,54.860312,54.892197,0
101,20.173046,68.457154,8.786811,13.882478,0.271090,0
102,11.669606,47.316620,60.610188,79.428945,10.669925,0
103,85.072745,74.597452,40.851830,93.293807,99.092947,1
104,20.500181,37.922858,92.644942,72.159655,4.809464,0
105,78.151449,82.794088,75.050192,79.953714,82.513268,1
106,18.640498,23.569175,63.375856,90.786613,31.619658,0
107,58.830668,68.298206,45.194860,71.378245,89.966745,0
108,62.410155,53.978106,43.874468,57.748627,35.536245,0
109,39.148211,53.185748,6.661911,22.902539,54.284931,0
110,43.152814,33.281578,73.054914,69.371761,16.673076,0
111,87.862911,49.542362,74.146091,57.315085,99.769262,1
112,75.240312,70.698047,77.857194,14.312799,20.454459,0
113,71.406408,49.398148,75.463529,10.291603,53.648135,0
114,37.882156,45.700022,60.395787,50.228834,53.986064,0
115,48.635749,40.895517,77.188198,1.220307,59.844270,0
116,56.550834,71.617908,59.902937,82.679883,95.907479,1
117,34.252425,22.735098,42.359686,28.792962,61.495026,0
118,91.185241,13.911619,10.079460,25.601553,72.609558,0
119,59.296290,10.221266,91.875052,79.008463,2.302260,0
120,65.136722,77.124667,37.443537,6.892154,7.732106,0
121,10.424696,84.043963,91.068620,12.281078,23.590603,0
122,16.552051,18.632088,83.749079,33.214641,31.144427,0
123,22.739562,60.789439,37.930570,74.424965,20.557980,0
124,78.778989,60.372154,11.426730,41.450458,86.351814,0
125,92.296023,46.570012,48.083698,91.845473,58.706823,0
126,3.284667,91.274947,24.822645,57.763196,16.551332,0
127,3.387916,31.147317,78.049571,27.758717,22.009722,0
128,21.268078,51.517368,97.554131,45.898899,55.730537,0
129,86.063202,53.506972,18.446287,29.959591,30.993693,0
130,39.731812,42.678891,79.978202,34.938700,46.823183,0
131,62.497599,37.772595,83.656481,58.745361,29.404467,0
132,71.405920,52.764773,53.445589,48.108795,49.701195,0
133,76.535628,10.298148,33.436281,7.550336,75.324622,0
134,27.230185,89.743041,52.657846,80.074977,97.893144,1
135,83.978886,86.699376,40.798450,55.172260,25.388856,0
136,19.611310,50.550789,59.504898,33.927125,56.944352,0
137,88.746048,55.672159,72.081310,80.531497,98.872878,1
138,60.319740,80.685015,96.264932,94.440973,14.108185,1
139,40.639231,32.399006,8.692502,63.324078,73.590461,0
140,84.812810,12.277689,87.644408,64.292557,70.394613,0
141,91.062400,62.476127,33.586586,82.510734,36.305921,0
142,3.422811,83.065451,34.519214,77.383453,36.275789,0
143,86.106802,21.951052,97.454727,77.975878,11.423792,0
144,56.577662,98.536731,47.106545,18.210714,48.477837,0
145,51.245766,74.168694,69.884585,40.255005,21.802311,0
146,64.505417,42.170393,13.227621,90.057231,69.122186,0
147,68.318386,82.258387,52.966169,81.505443,49.809075,0
148,6.717540,40.524808,49.746489,72.020258,10.657873,0
149,14.001854,26.368380,26.649839,73.218458,25.073066,0
150,63.309806,49.427385,57.329437,83.810696,40.438150,0
151,77.091138,42.203606,35.387138,95.862718,18.437092,0
152,9.033696,77.098593,6.824971,83.707899,43.719340,0
153,91.551367,72.153287,61.040466,94.930680,39.664937,1
154,95.408694,13.500128,48.375495,26.991123,53.984278,0
155,16.201388,84.152966,84.640785,95.523631,15.467214,1
156,62.333255,47.423731,34.438373,35.154016,41.279355,0
157,70.492555,59.828606,45.968152,7.593340,7.776534,0
158,0.233939,96.769939,0.525382,10.309375,31.459656,0
159,80.743025,96.209879,79.001356,69.056023,52.130067,1
160,8.670521,95.817079,75.839241,63.894939,75.903584,1
161,72.410333,63.723158,98.057680,90.336381,64.666492,1
162,69.317521,5.159580,66.991747,4.416544,58.826375,0
163,99.935350,55.580658,47.321012,31.285486,12.052258,1
164,73.102367,19.259903,11.528202,42.176266,79.534184,0
165,74.506455,5.488261,45.514368,52.243458,64.454665,0
166,65.016735,36.469725,56.067720,48.106189,88.499835,0
167,53.026513,44.103216,40.448545,57.242776,80.397698,0
168,53.840149,66.165518,73.785577,52.016810,42.681706,0
169,87.666538,41.750608,46.194284,99.034131,0.023752,1
170,18.547291,38.396389,93.258991,7.002970,0.948543,0
171,5.268384,8.854341,3.759678,47.978132,58.075720,0
172,27.168697,39.828738,9.169934,33.637047,52.251919,0
173,73.227181,0.334637,46.731077,29.700288,85.282182,0
174,71.555332,58.910854,27.726565,91.033910,4.510068,0
175,10.946760,39.163014,12.443756,95.641570,79.798932,0
176,25.898265,58.855423,98.233051,88.419898,60.079845,1
177,90.372397,98.918491,74.335282,6.498641,40.158023,1
178,83.782574,23.056920,83.064252,12.033876,4.694536,0
179,38.409062,3.673194,95.727026,82.620570,80.076969,1
180,62.977792,21.632402,51.826036,59.727407,52.503150,0
181,26.023337,51.524792,49.118634,99.633578,89.743614,1
182,46.338075,62.293738,74.787161,3.486516,89.492144,0
183,86.012682,45.743209,39.116977,27.295938,47.667683,0
184,4.437666,85.219353,3.542236,32.905136,93.158949,0
185,73.521266,28.139096,25.264910,0.508214,69.571429,0
186,4.878358,53.260252,96.212197,10.946886,89.447994,1
187,99.147533,6.151703,88.290627,51.607902,90.651372,1
188,57.131894,66.211201,54.377891,86.449288,73.390991,0
189,52.126031,86.816080,24.528553,15.734066,16.040010,0
190,33.400888,23.869003,93.009035,10.583409,69.899074,0
191,18.922155,88.163713,96.131528,46.547001,87.907148,1
192,0.514517,81.994692,22.862516,90.870131,0.112011,0
193,55.618173,75.663580,25.868833,19.313286,8.409822,0
194,32.643358,55.984431,11.584386,37.669536,0.907241,0
195,81.867942,12.844872,28.334295,1.842772,43.224078,0
196,84.012150,39.215121,17.949732,75.369883,78.880698,0
197,17.375347,77.085411,94.729789,16.637759,77.098429,0
198,70.857200,47.357389,5.792046,7.469442,85.241466,0
199,99.014837,67.605225,44.595830,64.757365,59.439586,1
200,38.361226,6.562615,82.151295,37.183353,81.878564,0
201,25.250875,0.102948,15.893828,46.853941,94.430363,0
202,10.219362,85.420978,52.702409,82.592077,29.837443,0
203,83.994717,77.282278,23.005368,13.133513,86.805432,0
204,96.323666,3.130232,73.127007,90.952451,85.736009,1
205,96.452047,76.009408,44.229876,31.195199,32.074274,0
206,72.442267,74.583701,20.035914,86.812281,71.492404,0
207,56.275028,47.153246,54.323280,15.924574,20.370125,0
208,9.116449,15.365803,45.369363,53.035439,1.786189,0
209,79.679783,29.416798,91.183603,96.751127,18.545887,1
210,46.209729,0.123184,59.832727,60.730645,24.753996,0
211,55.841267,22.554014,16.082548,65.151947,32.592547,0
212,59.026393,43.324675,98.435141,14.958065,46.459860,1
213,68.045663,39.554508,97.469985,72.188763,65.698385,1
214,75.705927,95.264864,90.781865,72.428531,74.916164,1
215,14.592207,10.279240,57.090450,1.836764,48.235638,0
216,21.034958,34.601656,77.580474,94.123751,7.241627,0
217,53.424221,88.253349,8.250854,82.451405,35.780135,0
218,32.209470,97.746638,20.085909,69.319394,82.144073,0
219,4.118350,67.038546,95.154997,12.421997,89.622131,1
220,59.477663,61.660458,61.294418,29.883588,93.520181,0
221,94.735046,62.530466,78.342273,61.225798,48.439845,0
222,66.082011,55.300145,59.747586,78.383256,48.090383,0
223,4.075411,16.399948,43.860722,72.482656,59.327865,0
224,65.029419,47.927893,61.574202,32.901743,47.018259,0
225,74.427907,87.183278,43.365533,4.366166,16.167254,0
226,2.086114,65.326302,33.231462,54.247863,49.327685,0
227,8.152649,40.326136,22.056113,41.839979,20.357828,0
228,84.045240,17.419333,96.078055,41.590737,84.624529,1
229,62.876482,73.535030,76.772389,50.484489,54.330052,0
230,51.399587,58.805838,2.939445,39.551517,60.618871,0
231,59.772356,79.295609,65.500934,99.213332,28.385453,1
232,35.915103,38.384715,46.581281,83.599806,23.579209,0
233,77.600021,40.531018,60.185539,63.254053,37.284863,0
234,51.261520,41.303117,6.913278,43.716539,9.739339,0
235,40.502080,59.291840,57.941490,66.262128,9.526151,0
236,65.212325,31.214806,39.904595,85.798625,0.903040,0
237,58.841263,59.871398,39.665977,23.702786,23.467404,0
238,88.370967,44.202438,33.088936,44.877758,66.939040,0
239,14.575657,44.943383,58.788437,94.858335,25.252779,0
240,35.925075,37.935860,60.553815,35.673205,53.351192,0
241,78.179033,70.538559,44.636865,86.421617,55.814025,0
242,53.990584,3.418777,98.669298,12.297081,23.113091,0
243,5.169684,64.000297,22.470117,18.001043,8.855559,0
244,10.330895,58.467070,68.820787,39.737899,47.989708,0
245,68.596774,1.737979,32.313066,97.309775,58.011223,0
246,25.422458,52.173005,34.265349,53.224499,12.574152,0
247,13.271466,14.354236,93.981979,73.289892,16.238189,0
248,18.834909,73.082948,15.616385,23.456129,96.334683,0
249,25.530652,66.163234,97.863129,37.429676,1.751599,0
250,24.414729,83.087719,86.460884,76.851937,11.310982,0
251,79.551037,91.867779,60.060954,94.087536,82.683888,1
252,66.697152,57.718524,34.857367,15.928744,60.495393,0
253,31.811155,86.643866,99.333694,75.242776,9.048170,1
254,28.868560,10.910963,65.051165,76.519086,92.567483,0
255,43.817234,90.137564,87.789116,31.719572,86.890062,1
256,37.567225,29.686928,64.907466,32.838123,63.020875,0
257,60.983181,56.343893,38.041971,54.849972,59.648547,0
258,54.568689,44.441945,1.466706,58.706171,16.844438,0
259,64.257597,75.934432,50.044531,54.236366,95.147856,1
260,84.716736,91.423652,81.376629,10.891834,14.899185,0
261,52.662380,24.606966,47.669547,39.436532,54.941424,0
262,74.687571,71.549090,52.123413,82.239342,43.086209,0
263,89.671429,7.128027,95.466003,65.469308,38.007451,0
264,19.715412,47.918323,19.455833,16.633161,61.735176,0
265,52.308473,67.009604,92.960588,53.226022,58.093205,1
266,8.962634,71.763579,39.990521,97.672524,82.317402,1
267,52.248105,12.322265,85.941579,79.978109,18.458513,0
268,29.527830,79.340726,18.522845,91.775249,42.452743,0
269,8.703896,81.574864,37.350969,52.649919,11.230434,0
270,0.258401,63.798520,51.517517,59.353857,79.374385,0
271,64.660591,17.477345,36.077252,90.589110,76.994470,0
272,55.663706,25.564500,30.206050,73.195807,85.117426,0
273,67.142467,80.952998,76.665613,14.970397,42.394481,0
274,15.298380,23.523558,86.925962,47.289196,53.535811,0
275,17.844597,31.227178,23.024616,20.618616,63.796079,0
276,25.688385,63.201548,5.845462,14.177439,27.454026,0
277,59.704691,67.584125,44.271697,44.579092,72.451685,0
278,1.582109,34.109003,81.870706,60.321941,33.722713,0
279,90.552480,77.262273,26.489545,64.528983,59.575073,0
280,40.118791,36.695608,34.356047,61.715578,44.240994,0
281,83.186312,66.960262,6.993161,64.016823,27.114743,0
282,59.281199,68.013193,23.082919,45.685865,19.032486,0
283,5.233887,37.847642,36.294427,99.548049,44.635235,0
284,33.356955,58.047501,8.876739,96.166574,63.496005,0
285,75.483782,17.047794,40.947785,42.268912,82.180644,0
286,0.123668,30.085311,98.123637,47.488654,38.252629,0
287,11.982900,97.416463,2.002635,73.718022,76.859981,0
288,24.365671,67.155845,9.292914,25.704727,78.790198,0
289,86.468620,60.848641,50.683843,15.930402,6.310904,0
290,11.764903,22.735730,34.167450,38.090953,34.632176,0
291,23.905533,50.972424,82.528611,27.970354,94.238702,0
292,87.333666,16.176421,78.627596,57.458738,56.657536,0
293,39.104277,50.115299,39.717878,53.973261,62.795005,0
294,67.430381,53.248119,72.142206,14.127804,21.198249,0
295,81.873501,32.252798,2.289382,15.379115,22.361443,0
296,95.732288,57.304143,93.273074,57.516335,47.935444,1
297,31.372768,60.637095,13.919802,89.826163,82.933241,0
298,31.753145,95.279753,82.520077,66.630689,12.176191,0
299,47.823403,50.610755,23.255135,7.996539,77.672363,0
300,12.203506,59.429075,93.644918,87.610519,27.775263,0
301,85.144864,0.033251,1.768781,60.255316,36.479822,0
302,38.646085,56.444109,19.178245,21.175536,48.460159,0
303,75.425355,61.949775,29.735504,43.033718,17.066476,0
304,7.462982,78.269604,26.538741,17.776638,69.161806,0
305,61.805167,63.318962,22.889460,23.264554,22.080263,0
