Front,Obj1,Obj2
1,2.3648,2.87206
1,1.83168,3.16868
1,1.7313,3.43462
2,1.86054,2.23951
2,1.85539,2.45039
2,1.81886,2.58701
2,1.69155,2.92627
2,1.60132,2.98998
3,1.84242,2.08827
3,1.77316,2.12831
3,1.70091,2.5628
3,1.48176,2.64327
3,1.47931,2.8988
4,1.8269,1.46197
4,1.76545,2.07501
4,1.7001,2.40155
4,1.5283,2.52396
4,1.45119,2.73025
4,1.44889,2.76623
4,1.44063,2.85186
5,1.75884,1.74387
5,1.68173,1.95015
5,1.5923,2.1751
5,1.36867,2.84725
6,1.73966,1.13122
6,1.56147,1.96191
6,1.51453,2.0006
6,1.48626,2.0516
6,1.48531,2.1099
6,1.39007,2.16495
6,1.34719,2.27059
6,1.34014,2.59808
6,1.25951,2.59848
6,1.12234,2.70088
6,1.00844,2.74362
7,1.63727,0.994054
7,1.55811,1.53649
7,1.52969,1.80703
7,1.47639,1.81474
7,1.46584,1.93634
7,1.40063,2.04334
7,1.33122,2.30292
7,1.29294,2.3366
7,1.09002,2.68491
8,1.50617,1.56651
8,1.36925,1.96907
8,1.31851,2.24097
8,1.09937,2.32144
8,1.03591,2.53138
9,1.44885,0.768006
9,1.41418,1.52728
9,1.41053,1.54094
9,1.34532,1.64794
9,1.31771,2.07972
9,1.29444,2.13938
9,1.20921,2.21174
9,1.01699,2.2189
9,0.914854,2.3819
9,0.875219,2.39326
10,1.40662,1.25444
10,1.34357,1.545
10,1.28837,1.66931
10,1.2628,1.76494
10,1.24359,1.89156
10,1.22397,1.93755
10,1.21802,1.98719
10,1.10642,1.99395
10,1.09411,2.01262
10,1.00698,2.20159
10,0.940024,2.20564
10,0.838836,2.31034
11,1.36348,1.05992
11,1.31924,1.14324
11,1.25619,1.4338
11,1.23683,1.77996
11,1.22262,1.91523
11,1.15701,1.9416
11,0.971549,2.06036
11,0.586158,2.13298
11,0.545573,2.20265
11,0.250412,2.21156
12,1.27815,0.612571
12,1.25623,0.694544
12,1.22927,1.50712
12,1.20991,1.85327
12,1.13564,1.88465
12,0.970198,2.03804
13,1.219,1.18963
13,1.20114,1.33857
13,1.18558,1.45152
13,1.16026,1.84732
13,0.827219,1.97053
14,1.17466,0.753248
14,1.1691,0.883514
14,1.15811,1.66376
14,1.12253,1.74208
14,1.10792,1.79673
14,1.10426,1.81039
14,0.81816,1.89492
14,0.776224,1.94226
14,0.772571,1.95592
15,1.1744,0.453081
15,1.15504,0.799239
15,1.14189,1.39592
15,1.11347,1.66646
15,1.08655,1.73978
15,1.08424,1.77576
15,0.902033,1.80023
15,0.579546,1.80184
15,0.433317,1.82862
15,0.230138,1.87676
16,1.15208,0.454433
16,1.11296,1.06613
16,1.1028,1.26836
16,1.10171,1.5462
16,1.05842,1.57123
16,1.03055,1.70284
16,1.01323,1.71285
16,0.952627,1.74789
16,0.751749,1.76005
16,0.406943,1.76301
16,0.375965,1.76936
16,0.187799,1.84348
17,1.13451,0.164276
17,1.09458,0.614726
17,1.09199,1.0898
17,1.07453,1.31935
17,1.06627,1.40498
17,1.04801,1.47329
17,1.00107,1.51197
17,0.938563,1.66361
17,0.860644,1.70865
17,0.844681,1.74098
17,0.0835064,1.82292
18,1.07716,0.105024
18,1.0502,0.917596
18,1.03679,1.21411
18,1.02529,1.39402
18,0.966033,1.45137
18,0.945065,1.47504
18,0.936408,1.48005
18,0.928152,1.56567
18,0.857539,1.58339
18,0.825612,1.64805
18,0.781374,1.73137
19,1.03248,0.846984
19,1.00351,1.25645
19,0.956024,1.43406
19,0.910435,1.49506
19,0.882161,1.54606
19,0.822909,1.60341
19,0.680333,1.61652
19,0.621081,1.67388
19,0.560478,1.70891
19,0.503528,1.73028
20,1.03208,0.766362
20,0.998801,0.8087
20,0.987294,0.98861
20,0.961321,1.00362
20,0.955221,1.27281
20,0.94291,1.29148
20,0.94196,1.34978
20,0.804389,1.37155
20,0.787877,1.54281
20,0.756899,1.54916
20,0.701301,1.59285
20,0.57509,1.65426
20,0.498523,1.72162
21,1.02331,0.251655
21,1.01911,0.404241
21,1.01761,0.601466
21,0.985943,0.966291
21,0.932097,1.11292
21,0.916535,1.22587
21,0.899622,1.3165
21,0.694141,1.40063
21,0.692242,1.51723
21,0.51909,1.61733
21,0.364203,1.64911
22,0.963915,0.528552
22,0.941449,0.749449
22,0.911275,0.917048
22,0.905723,1.04731
22,0.878252,1.25955
22,0.870946,1.28688
22,0.678178,1.43296
22,0.657209,1.45663
22,0.651255,1.50628
22,0.479053,1.54807
22,0.463089,1.5804
23,0.940098,0.727129
23,0.893157,0.765814
23,0.883549,0.829121
23,0.863238,1.23358
23,0.773959,1.23899
23,0.691036,1.27537
23,0.656406,1.29539
23,0.611218,1.43702
23,0.383016,1.44187
23,0.362449,1.54617
24,0.916426,0.706161
24,0.841613,0.876463
24,0.828206,1.17298
24,0.766251,1.18569
24,0.750288,1.21802
24,0.635036,1.23844
24,0.598104,1.29444
24,0.531546,1.37912
24,0.429957,1.40319
24,0.35339,1.47055
25,0.897248,0.0935171
25,0.878034,0.22013
25,0.846362,0.584954
25,0.824699,0.967094
25,0.815092,1.0304
25,0.712552,1.11278
25,0.582688,1.18784
25,0.418194,1.28293
25,0.281974,1.32702
25,0.279672,1.36301
25,0.114776,1.37747
26,0.896043,-0.148348
26,0.836353,0.567639
26,0.819695,0.958436
26,0.807384,0.977103
26,0.683876,1.08315
26,0.581337,1.16552
26,0.402778,1.17634
26,0.385865,1.26697
26,0.15401,1.28549
26,0.140749,1.36246
27,0.889833,-0.39887
27,0.824481,-0.0723288
27,0.820937,0.461045
27,0.818489,0.716572
27,0.806581,0.81586
27,0.743676,0.886874
27,0.680771,0.957888
27,0.668863,1.05718
27,0.611912,1.07855
27,0.567273,1.08125
27,0.488003,1.10397
27,0.443363,1.10667
27,0.343527,1.23369
27,0.133991,1.25086
28,0.815531,0.371766
28,0.806873,0.37677
28,0.800224,0.784883
28,0.751932,0.801248
28,0.671712,0.882271
28,0.589191,0.999277
28,0.583236,1.04892
28,0.452021,1.10167
28,0.371399,1.10207
28,0.32676,1.10478
28,0.322157,1.17674
28,0.0470134,1.22028
28,-0.279126,1.23555
29,0.814509,-0.8289
29,0.809869,-0.01768
29,0.805668,0.134906
29,0.80512,0.273829
29,0.766142,0.665978
29,0.734215,0.730636
29,0.666707,0.873614
29,0.65805,0.878618
29,0.531839,0.940025
29,0.468934,1.01104
29,0.415637,1.01875
29,0.406979,1.02375
29,0.284422,1.0715
29,0.215161,1.11153
29,0.114923,1.15793
29,0.0529678,1.17064
29,-0.285482,1.20457
30,0.795257,0.0369687
30,0.748425,0.595365
30,0.68552,0.66638
30,0.675913,0.729686
30,0.572022,0.789741
30,0.554707,0.79975
30,0.538743,0.832079
30,0.488149,0.884427
30,0.457172,0.890783
30,0.451217,0.940427
30,0.447564,0.954089
30,0.371947,0.963149
30,0.320002,0.993176
30,0.299034,1.01685
30,0.276714,1.0182
30,0.242083,1.03822
30,0.242083,1.03822
30,0.0265932,1.10503
30,-0.0563298,1.14141
30,-0.340131,1.18996
31,0.747621,0.434122
31,0.702032,0.495127
31,0.675511,0.649064
31,0.675511,0.649064
31,0.560661,0.750106
31,0.523729,0.806106
31,0.444459,0.828828
31,0.419838,0.866162
31,0.371546,0.882527
31,0.325956,0.943532
31,0.234376,0.98492
31,0.0608218,1.00439
31,0.0115794,1.07906
32,0.733302,0.0496811
32,0.730854,0.305208
32,0.672954,0.38488
32,0.670653,0.420862
32,0.661849,0.645411
32,0.55025,0.652169
32,0.505611,0.654873
32,0.496003,0.718179
32,0.434048,0.730891
32,0.407126,0.804207
32,0.386158,0.827878
32,0.370194,0.860207
32,0.289572,0.860609
32,0.235325,0.926619
32,0.174722,0.961651
32,0.0991052,0.97071
32,-0.0221012,1.04077
33,0.698014,-0.311089
33,0.685959,0.00774473
33,0.636826,0.602123
33,0.419984,0.646617
33,0.379801,0.796901
33,0.365189,0.85155
33,-0.0885125,0.905906
33,-0.161426,0.959605
33,-0.235692,0.990984
33,-0.296295,1.02602
34,0.636571,0.301957
34,0.607347,0.411254
34,0.584479,0.551529
34,0.567164,0.561539
34,0.546195,0.58521
34,0.396313,0.625648
34,0.378998,0.635658
34,0.356678,0.637009
34,0.340714,0.669338
34,0.248184,0.769028
34,0.158905,0.774435
34,0.144293,0.829084
34,-0.142212,0.832992
34,-0.222833,0.833394
34,-0.372715,0.873832
35,0.627548,-0.512917
35,0.623456,0.15938
35,0.595986,0.371619
35,0.572716,0.431273
35,0.560406,0.44994
35,0.503857,0.551931
35,0.275655,0.556789
35,0.251033,0.594123
35,0.175416,0.603182
35,0.138485,0.659183
35,0.120621,0.808115
36,0.623055,0.0787589
36,0.590981,0.362962
36,0.535383,0.406652
36,0.492496,0.512296
36,0.310285,0.536771
36,0.150393,0.559894
36,0.0961465,0.625904
36,-0.0173521,0.749266
36,-0.0979737,0.749667
36,-0.159928,0.76238
37,0.579767,0.103782
37,0.554999,0.36066
37,0.534031,0.384332
37,0.530378,0.397994
37,0.48614,0.481319
37,0.286614,0.515803
37,0.0834341,0.563949
37,-0.0318179,0.584369
37,-0.0427769,0.625356
37,-0.147618,0.743713
37,-0.276532,0.76048
38,0.556095,0.0828137
38,0.554196,0.199417
38,0.536332,0.34835
38,0.416076,0.360112
38,0.360477,0.403802
38,0.333555,0.477118
38,0.311235,0.478469
38,0.221956,0.483876
38,0.0843839,0.505647
38,0.0734249,0.546634
38,-0.0071967,0.547036
38,-0.0924211,0.619402
38,-0.249609,0.687165
39,0.551492,0.154778
39,0.515912,0.233098
39,0.491291,0.270431
39,0.371034,0.282194
39,0.368733,0.318176
39,0.32044,0.334541
39,0.309883,0.45615
39,0.252933,0.47752
39,0.0570595,0.498341
39,0.0484019,0.503346
39,-0.198066,0.576515
39,-0.609831,0.583529
40,0.551237,-0.145389
40,0.546086,0.0654985
40,0.53878,0.0928229
40,0.413921,0.176549
40,0.392003,0.258523
40,0.295819,0.371875
40,0.242522,0.379583
40,0.189225,0.387291
40,0.185572,0.400953
40,0.176914,0.405957
40,0.169608,0.433282
40,0.116311,0.440989
40,0.0197259,0.47372
40,-0.0149045,0.493739
40,-0.0235621,0.498743
40,-0.354706,0.505355
40,-0.394341,0.516716
41,0.531218,-0.180019
41,0.486031,-0.0383927
41,0.477373,-0.0333881
